geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
129,Sunset Village Neighborhood Association,1842,87.4,236309.0,1948,58,50,1948,13.0,6.2,17.7,20.3,1,2012
124,Stonefield Woods-Ridge Neighborhood Association,235,87.3,360683.0,1990,0,0,1990,17.5,7.3,18.2,24.9,0,2012
149,Waunona Neighborhood Association,1970,63.0,321359.0,1969,14,88,1969,10.7,7.8,21.3,24.1,26,2012
109,Sprecher East Neighborhood Association,2207,86.2,230761.0,2003,13,16,2003,6.0,8.0,23.6,31.1,4,2012
111,Eastmorland Community Association,3166,89.6,145412.0,1953,95,186,1953,14.1,6.4,16.3,19.4,34,2012
175,Greystone,283,80.8,360845.0,2004,0,1,2004,5.0,8.0,32.1,47.6,0,2012
148,Bay Creek Neighborhood Association,2401,83.6,209698.0,1940,69,148,1940,11.1,6.5,14.8,15.7,15,2012
126,Capitol Neighborhoods,13843,82.0,255850.0,1969,379,796,1969,5.2,7.2,1.4,1.4,181,2012
158,Park Ridge Neighborhood Association,488,48.3,140978.0,1986,18,24,1986,2.2,6.9,30.1,30.2,6,2012
176,Dudgeon-Monroe Neighborhood Association,3176,90.8,312402.0,1929,45,44,1929,9.2,5.7,18.6,26.8,1,2012
121,Elvehjem Neighborhood Association,4165,81.8,180363.0,1968,67,108,1968,15.2,6.5,21.9,27.3,30,2012
147,Westmorland Neighborhood Association,2207,91.7,245898.0,1950,18,45,1950,15.0,7.1,22.2,28.9,4,2012
174,Hawk's Landing Neighborhood Association,1503,85.6,519437.0,2004,1,13,2004,6.2,7.0,29.7,36.6,2,2012
152,High Point Estates,853,71.8,414825.0,1992,10,19,1992,8.4,7.1,28.8,36.9,2,2012
144,Tamarack Trails Community Condominium Association,464,58.0,,1978,2,5,1978,25.5,6.0,26.4,30.1,0,2012
143,Wexford Ridge Neighborhood,400,27.3,,1976,6,43,1976,10.7,5.7,39.9,51.9,28,2012
146,Midvale Heights Community Association,3284,87.0,228629.0,1958,56,73,1958,18.9,7.8,19.0,24.3,8,2012
157,Moorland-Rimrock Neighborhood Association,2591,49.2,174680.0,1973,31,69,1973,3.8,7.4,28.5,34.4,40,2012
136,Regent Neighborhood Association,6344,85.2,385308.0,1931,70,135,1931,6.2,6.9,12.4,15.4,26,2012
163,Skyview Meadows Neighborhood Association,532,81.4,197046.0,1986,7,13,1986,4.7,7.5,20.8,30.1,4,2012
181,Monona Bay Neighborhood Association,1138,53.3,243361.0,1964,27,49,1964,7.5,7.8,14.7,11.3,13,2012
168,Sunset Hills Neighborhood Association,213,91.6,365293.0,1962,1,2,1962,34.9,4.4,14.9,17.8,0,2012
115,Tenney-Lapham Neighborhood Association,4149,87.1,279929.0,1914,106,156,1914,3.4,7.1,9.5,9.8,19,2012
352,Woodland Hills Neighborhood Association,682,81.8,272260.0,1985,3,5,1985,11.9,6.9,14.8,19.2,1,2012
88,High Crossing Neighborhood Association,1020,75.5,,2002,19,26,2002,11.9,6.5,14.8,15.2,5,2012
